10 0.00000876  10.00000000  0.99999912  
20 1.29875806  10.00000000  0.87012419  
40 3.98209523  10.00000000  0.60179048  
80 0.21365247  10.00000000  0.97863475  
160 0.12514098  10.00000000  0.98748590  
320 24.42753863  10.00000000  1.44275386  
640 0.57067828  10.00000000  0.94293217  
1280 5.06377192  10.00000000  0.49362281  
2560 1.43425960  10.00000000  0.85657404  
5120 4.91182370  10.00000000  0.50881763  
10240 8.19195026  10.00000000  0.18080497  
20480 4.85190669  10.00000000  0.51480933  
40960 4.15044006  10.00000000  0.58495599  
81920 11.54551261  10.00000000  0.15455126  
163840 9.10048109  10.00000000  0.08995189  
327680 12.67346544  10.00000000  0.26734654  
655360 12.14636412  10.00000000  0.21463641  
