# bin x_uniform uniform1 uniform2 x_gaussian gaussian1 gaussian2 
    1    0.0100011   20204   19751     -2.94      1298    1074
    2    0.0300008   19992   20191     -2.82      1057     864
    3    0.0500005   19951   20052      -2.7      1417    1238
    4    0.0700007   20145   20123     -2.58      1725    1709
    5    0.0900002   20091   20082     -2.46      2321    2248
    6     0.11   20065   19995     -2.34      3101    3110
    7     0.13   19796   20256     -2.22      4067    4094
    8     0.15   19904   19859      -2.1      5207    5266
    9     0.17   19957   20029     -1.98      6756    6729
   10     0.19   20018   20016     -1.86      8493    8493
   11     0.21   19855   19970     -1.74     10353   10762
   12     0.23   19715   20030     -1.62     12775   12956
   13     0.25   19744   20052      -1.5     15512   15626
   14     0.27   20032   19946     -1.38     18439   18559
   15     0.29   20065   20071     -1.26     21586   21565
   16     0.31   19843   19790     -1.14     25035   24987
   17     0.33   19960   20069     -1.02     28474   28194
   18     0.35   20047   19527      -0.9     31800   31962
   19     0.37   20407   19905     -0.78     35322   35953
   20     0.39   19971   19959     -0.66     38854   38715
   21     0.41   19863   20026     -0.54     41364   41402
   22     0.43   20040   20215     -0.42     43785   43506
   23     0.45   20207   19970      -0.3     45390   45670
   24     0.47   20236   20225     -0.18     47437   46861
   25     0.49   20189   20007     -0.06     47993   47689
   26     0.51   20040   19944      0.06     47867   47339
   27     0.53   19803   19949      0.18     47158   47233
   28     0.55   19678   19928       0.3     45902   45961
   29     0.57   20154   19926      0.42     43838   43688
   30     0.59   20105   20179      0.54     41168   41711
   31     0.61   20133   19915      0.66     38271   38651
   32     0.63   19853   19913      0.78     35167   34933
   33     0.65   19920   19887       0.9     31957   32139
   34     0.67   19997   19934      1.02     28337   28235
   35     0.69   19955   20250      1.14     24962   24920
   36     0.71   20230   20024      1.26     22064   21561
   37     0.73   20193   20073      1.38     18339   18349
   38     0.75   20142   20021       1.5     15715   15662
   39     0.77   20174   19940      1.62     12703   12873
   40     0.79   19965   20036      1.74     10372   10403
   41     0.81   19701   19803      1.86      8436    8578
   42     0.83   19889   19860      1.98      6857    6830
   43     0.85   19990   20073       2.1      5285    5375
   44     0.87   19998   19972      2.22      4115    4114
   45     0.89   20059   19991     2.34001      3172    3095
   46     0.91   19897   20223     2.46002      2419    2444
   47     0.93   19846   20000     2.58006      1778    1718
   48     0.95   20006   20093     2.70012      1363    1331
   49     0.97   20147   20102     2.82027       896    1006
   50     0.99   19828   19848     2.94058       636     784
